USE_CODE,LUC_Assign,L3_Description,USE_DESC
997V,997,Other,NA
996V,996,"Other, Non-taxable condo common land",Other non Tax C
996P,996,"Other, Non-taxable condo common land",NA
995V,995,"Other, Open Space",NA
995I,995,"Other, Open Space",OTHER OP SP IND
995C,995,"Other, Open Space",NA
993V,993,Improved County or Regional Correctional,NA
992R,992,"Improved, County or Regional, Deeds or Admin",County/Reg Deed
992I,992,"Improved, County or Regional, Deeds or Admin",county improved
991V,991,"Vacant, County or Regional",County/Regional
990V,990,121A Corporations,121A CORP
990C,990,121A Corporations,121A CORP
989V,989,"Improved , Other District",NA
989R,989,"Improved , Other District",NA
989I,989,"Improved , Other District",NA
985V,985,"Improved Municipal or Public Safety, Other City or Town",NA
985I,985,"Improved Municipal or Public Safety, Other City or Town",OTHER CITY
981V,981,"Improved, Selectmen or City Council, Other City or Town",NA
980V,980,"Vacant, Selectman or City Council, Other City or Town",NA
976V,976,NA,NA
975V,975,"Vacant, Transportation Authority",NA
974V,974,"Vacant, Utility Authority",Municipal MDL-00
973V,973,"Vacant, Housing Authority",Housing Authori
972V,972,Transportation Authority,TRANS AUTH
972I,972,Transportation Authority,TRANS AUTH
972C,972,Transportation Authority,TRANS AUTH
971V,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971R,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971I,971,"Utility Authority, Electric, Light, Sewer, Water",NA
971C,971,"Utility Authority, Electric, Light, Sewer, Water",NA
970V,970,Housing Authority,HSING AUTH MDL 00
970R,970,Housing Authority,NA
970M,970,Housing Authority,NA
970I,970,Housing Authority,NA
970C,970,Housing Authority,HOUSING AUTH COMM
962V,962,Other,NA
962R,962,Other,NA
962D,962,Other,NA
962C,962,Other,OTHER RELIG
961W,961,Rectory or Parsonage,REC/PARSON WATER
961V,961,Rectory or Parsonage,NA
961R,961,Rectory or Parsonage,NA
961C,961,Rectory or Parsonage,RECTORY
960V,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
960R,960,"Chruch, Mosque, Synagogue, Temple, etc.",Church Etc. MDL
960I,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
960C,960,"Chruch, Mosque, Synagogue, Temple, etc.","Church, etc. MDL"
959V,959,"Housing, Other",NA
959U,959,"Housing, Other",NA
959R,959,"Housing, Other",NA
959C,959,"Housing, Other",charitable housing comm
958V,958,"Recreation, Active Use",NA
958R,958,"Recreation, Active Use",recreation residential
958I,958,"Recreation, Active Use",recreation industrial
958C,958,"Recreation, Active Use",NA
958A,958,"Recreation, Active Use",NA
957V,957,Charitable Services,NA
957U,957,Charitable Services,CHAR SER
957R,957,Charitable Services,NA
957M,957,Charitable Services,NA
957I,957,Charitable Services,CHAR SERV IN
957C,957,Charitable Services,CHARITABLE CM CONDO
956V,956,"Libraries, Museums",LIBRARY VAC
956R,956,"Libraries, Museums",LIBRARY RES
956C,956,"Libraries, Museums",LIBRARY MDL 94
955V,955,Hospitals,NA
955R,955,Hospitals,NA
955C,955,Hospitals,HOSP
954V,954,"Function Halls, Community Centers",CHARITABLE VACANT
954R,954,"Function Halls, Community Centers",NA
954I,954,"Function Halls, Community Centers",NA
954C,954,"Function Halls, Community Centers",NA
953V,953,Cemeteries,NA
953R,953,Cemeteries,NA
953I,953,Cemeteries,NA
953C,953,Cemeteries,CEMETERY IMP
951V,951,Other,Char Other M-00
951R,951,Other,Char Other M-01
951I,951,Other,NA
951C,951,Other,Char Other M-94
951A,951,Other,NA
950V,950,"Vacant, Conservation Organizations",NA
950R,950,"Vacant, Conservation Organizations",NA
947V,947,Other,NA
946V,946,Vacant,Priv Edu M-00
945R,945,Affiliated Housing,NA
945C,945,Affiliated Housing,PRIV AFF HSING COMM
944V,944,Auxiliary Athletic,NA
944C,944,Auxiliary Athletic,NA
943V,943,Other Educational,NA
943I,943,Other Educational,Priv Other Edu
943C,943,Other Educational,NA
942V,942,College or University,VAC PRIV COL
942R,942,College or University,PRVT COLLEGE
942C,942,College or University,PRIV COLL
941R,941,Secondary Level,PRI School MDL
941I,941,Secondary Level,NA
941C,941,Secondary Level,PRIV SEC LVL
940V,940,Elementary Level,NA
940R,940,Elementary Level,NA
940C,940,Elementary Level,PRIV ELEM
939V,939,"Improved, District",NA
939R,939,"Improved, District",NA
939C,939,"Improved, District",IMPRO CNTY
938V,938,Vacant. District,NA
937R,937,"Improved, Tax Title/Treasurer",MUN IMPR TT RES
937C,937,"Improved, Tax Title/Treasurer",NA
936V,936,"Vacant, Tax,Title/Treasurer",TAX TITLE VAC
935V,935,"Improved, Muni public safety",NA
935P,935,"Improved, Muni public safety",NA
935I,935,"Improved, Muni public safety",improved public safety
935H,935,"Improved, Muni public safety",NA
935F,935,"Improved, Muni public safety",NA
935C,935,"Improved, Muni public safety",improved public safety
934V,934,"Improved, Education",VAC Educational
934R,934,"Improved, Education",NA
934I,934,"Improved, Education",NA
934C,934,"Improved, Education",NA
933V,933,"Vacant, Education",NA
932V,932,"Vacant, Conservation",NA
932R,932,"Vacant, Conservation",NA
932I,932,"Vacant, Conservation",NA
931V,931,"Improved, Selectmen or City Council",NA
931R,931,"Improved, Selectmen or City Council",MUN IMPRVD RES
931N,931,"Improved, Selectmen or City Council",NA
931I,931,"Improved, Selectmen or City Council",NA
931C,931,"Improved, Selectmen or City Council",NA
930W,930,"Vacant, Selectman or City Council",MUN VACANT WATER
930V,930,"Vacant, Selectman or City Council",Unknown
930R,930,"Vacant, Selectman or City Council",NA
930C,930,"Vacant, Selectman or City Council",COMM MASS MBTA
929V,929,Other,NA
929I,929,Other,MA-OTHER  MDL-96
929C,929,Other,MA-OTHER  MDL-94
928V,928,Div of Capital Asset Management,DCAM - VAC
928C,928,Div of Capital Asset Management,NA
927V,927,"Education - Umass, State Colleges, Comm Colleges",NA
927C,927,"Education - Umass, State Colleges, Comm Colleges",NA
926C,926,Judiciary,MA-JUDIC  MDL-94
925V,925,Dept of Conservation and Recreation,CON & REC MDL-00
925I,925,Dept of Conservation and Recreation,MDC  MDL-96
925C,925,Dept of Conservation and Recreation,COMM MASS MDC
924V,924,Mass Highway Dept.,MASS HWY MDL-00
924R,924,Mass Highway Dept.,NA
924I,924,Mass Highway Dept.,commonwealth mass  model 96
924C,924,Mass Highway Dept.,NA
923V,923,Dept of Mental Health,NA
922V,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",MASS MILITARY
922I,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",NA
922C,922,"Dept of Corrections, Div of Youth Services, Mass Military, State Police, Sheiff's Depts",MASS. MILITARY
921V,921,"Div of Fisheries and Wildlife,  DFW Environ Law Enforcement",NA
920V,920,"Dept of Conservation and Recreation, Div of Urban Parks",NON-PROFIT UNIMPROVED (VACANT)
920R,920,"Dept of Conservation and Recreation, Div of Urban Parks",NON PROFIT MDL-01
920C,920,"Dept of Conservation and Recreation, Div of Urban Parks",NON PROFIT MDL-94
919V,919,Other,NA
919R,919,Other,NA
919C,919,Other,NA
917V,917,"Education, Umass, State Colleges, Comm Colleges",NA
917I,917,"Education, Umass, State Colleges, Comm Colleges",NA
917C,917,"Education, Umass, State Colleges, Comm Colleges",NA
915V,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
915R,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
915I,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
915E,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
915C,915,"Dept of Conservation and Recreation, Div of Water Supply Protection",NA
914V,914,Dept of Mental Health,NA
913R,913,"Dept of Public Health, Soldiers' Homes",NA
913I,913,"Dept of Public Health, Soldiers' Homes",SOLD HOME  MDL-96
913C,913,"Dept of Public Health, Soldiers' Homes",SOLD HOME  MDL-94
912V,912,"Dept of Correction, Div of Youth Services",DOC/DYS M-00
912R,912,"Dept of Correction, Div of Youth Services",CORR REIMB  MDL-01
912I,912,"Dept of Correction, Div of Youth Services",DOC/DYS M-96
911V,911,"Div of Fisheries and Wildlife, Environmental Law Enforcement",NA
910V,910,"Dept of Conservation and Recreation, Div of state parks",NA
910R,910,"Dept of Conservation and Recreation, Div of state parks",DEM REIMB  MDL-01
910C,910,NA,CHARITABLE  MDL-94
910B,910,"Dept of Conservation and Recreation, Div of state parks",NA
909V,909,NA,NA
909R,909,NA,NA
909I,909,NA,NA
909C,909,NA,NA
908V,970,NA,HSNG AUTH  MDL-00
908U,970,NA,HSNG AUTH MDL
908R,970,NA,Hsng Auth MDL
908M,908,NA,NA
908C,970,NA,HSNG AUTH  MDL-94
907J,907,NA,NA
906V,960,NA,CHURCH ETC MDL
906R,960,NA,CHURCH ETC MDL-01
906O,960,NA,CHURCH ETC MDL-06
906I,960,NA,CHURCH ETC MDL
906C,960,NA,CHURCH ETC  MDL-94
905V,957,NA,CHARIT-MDL-00
905R,957,NA,CHARIT MDL-01
905O,957,NA,CHARIT MDL-06
905I,905,NA,NA
905C,955,NA,P/HOS CHAR  MDL-94
905B,905,NA,NA
904V,943,NA,PRI SCHOOL  MDL-00
904U,943,NA,PRI SCHOOL  MDL-05
904R,943,NA,PRI SCHOOL MDL-01
904I,943,NA,PRI SCHOOL  MDL-96
904C,943,NA,PRI SCHOOL  MDL-94
903Z,903,NA,NA
903V,930,NA,MUNICPAL MDL-0
903U,903,NA,MUNICPAL MDL-05
903R,903,NA,MUNICPAL MDL-0
903L,903,NA,NA
903J,903,NA,NA
903I,904,NA,MUNICPAL MDL-96
903C,903,NA,MUNICPAL  MDL-94
903B,903,NA,NA
903A,903,NA,PUB-SCHOOL  MDL-00
902V,902,NA,COUNTY MDL-00
902I,902,NA,NA
902C,902,NA,NA
901V,901,BLANK,COMM-MASS  MDL-00
901T,901,BLANK,NA
901S,901,BLANK,COMM-MASS  MDL-95
901R,901,BLANK,COMM-MASS  MDL-01
901I,901,BLANK,NA
901C,901,BLANK,NA
900V,900,United States Government,US GOVT  MDL-00
900R,900,United States Government,US GOVT  MDL-01
900I,900,United States Government,NA
900C,900,United States Government,US GOV -COMM
814C,814,NA,61B TARGET  M-9
811V,811,Swimming Areas,NA
810V,810,NA,61B HIKE  MDL-00
807C,807,Hunting - areas for the hunting of wildlife and Fishing Areas,NA
805V,805,Golfing - area of land arraged as a golf course,NA
805R,805,Golfing - area of land arraged as a golf course,"Golfing - areas of land arranged as a golf course (Ch. 61B, not classified as Open Space) RES"
805C,805,Golfing - area of land arraged as a golf course,NA
801V,801,"Hiking - trails or paths, Camping - areas with sites for overnight camping, Nature Study - areas specifically for nature study or observation",NA
800V,800,NA,NA
800R,800,NA,NA
722V,722,NA,NA
722P,722,NA,NA
720R,720,"Wet land, scrub land, rock land",NA
720C,720,"Wet land, scrub land, rock land",NA
720A,720,"Wet land, scrub land, rock land",NA
719I,719,Nurseries,NA
719A,719,Nurseries,NA
718V,718,Pasture,PASTURE  MDL-00
718R,718,Pasture,NA
718P,718,Pasture,NA
718O,718,Pasture,NA
718A,718,Pasture,NA
717V,717,Productive Woodland - woodlot,NA
717P,717,Productive Woodland - woodlot,NA
717B,717,Productive Woodland - woodlot,NA
717A,717,Productive Woodland - woodlot,NA
716V,716,"Necessary related land - farm roads, ponds, land under farm buildings",NA
716B,716,"Necessary related land - farm roads, ponds, land under farm buildings",NA
714V,714,"Orchards - pears, apples, grape vineyards, etc.",NA
714C,714,"Orchards - pears, apples, grape vineyards, etc.",NA
713V,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",FIELD CRPS  MDL-00
713P,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
713O,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
713C,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
713A,713,"Field Crops - hay, wheat, tillable forage cropland, etc.",NA
712V,712,Truck Crops - Vegetables,TR CRP VEG  MDL-00
712P,712,Truck Crops - Vegetables,NA
712A,712,Truck Crops - Vegetables,NA
711V,711,"Tobacco, Sod",NA
710N,710,Cranberry Bog,NA
710M,710,Cranberry Bog,NA
710L,710,Cranberry Bog,NA
710H,710,Cranberry Bog,NA
710E,710,Cranberry Bog,NA
710D,710,Cranberry Bog,NA
710C,710,Cranberry Bog,NA
710B,710,Cranberry Bog,NA
710A,710,Cranberry Bog,NA
610V,610,NA,NA
610I,610,NA,NA
601V,601,All land designated under Chapter 61,NA
601U,601,All land designated under Chapter 61,NA
601P,601,All land designated under Chapter 61,NA
601B,601,All land designated under Chapter 61,NA
601A,601,All land designated under Chapter 61,NA
450V,450,Electric Generation Plants,NA
442V,442,Undevelopable Land,NA
441V,441,Potentially Developable Land,NA
440V,440,Developable Land,NA
433V,433,"radio, television trasmission facilities",NA
433C,433,"radio, television trasmission facilities",NA
432V,432,cable tv transmitting facilities,NA
431V,431,telephone relay towers,NA
431I,431,telephone relay towers,NA
431A,431,telephone relay towers,NA
430V,430,Telephone exchange stations,TEL X STA M-00
428V,428,gas pressure control stations,NA
427V,427,Natural or manufactured gas storage,NA
426V,426,Gas pipeline right-of-way,NA
424V,424,electricity regulating substations,ELECSUBSTA  MDL-00
424I,424,electricity regulating substations,NA
424C,424,electricity regulating substations,NA
423V,423,electric transmission right-of-way,NA
422V,422,NA,NA
421V,421,liquid natural gas tanks,NA
421I,421,liquid natural gas tanks,NA
420I,420,tanks,NA
412V,412,rock,NA
412C,412,rock,NA
410V,410,Sand and gravel,SAND & GRAVEL MDL-00
410I,410,Sand and gravel,NA
410C,410,Sand and gravel,SAND&GRAVL M-94
404C,404,research and development facilities,R-D FACIL MDL
403V,403,land - integral part of manufacturing operation,NA
402I,402,office buildings - part of manufacturing operation,IND CONDO MDL
402C,402,office buildings - part of manufacturing operation,IND OFFICE MDL-94
401V,401,Warehouses for storage of manufactured products,IND WHSES MDL-00
401C,401,Warehouses for storage of manufactured products,IND WHSES  MDL-94
400V,400,Building for manufacturing operations,FACTORY  MDL-00
400R,400,Building for manufacturing operations,NA
400C,400,Building for manufacturing operations,FACTORY MDL-94
393V,393,Ag/Horticultural land not included in Chapter 61A,NA
393N,393,Ag/Horticultural land not included in Chapter 61A,NA
392V,392,Undevelopable Land,NA
390V,390,Developable Land,NA
390R,390,Developable Land,NA
390I,390,Developable Land,NA
388V,388,"Other outdoor facilities - driving ranges, mini-golf, batting cages",NA
388I,388,"Other outdoor facilities - driving ranges, mini-golf, batting cages",OTHR OUTDR M-96
387R,387,summer camps,NA
386V,386,camping facilities,NA
386R,386,camping facilities,NA
386I,386,camping facilities,NA
385V,385,fish and game clubs,NA
385C,385,fish and game clubs,NA
384V,384,marinas,MARINAS  MDL-00
384R,384,marinas,NA
384I,384,marinas,NA
384A,384,marinas,NA
383V,383,Beaches or swimming pools,NA
382V,382,riding stables,NA
381V,381,tennis courts,NA
381R,381,tennis courts,NA
380V,380,Golf courses,NA
380I,380,Golf courses,NA
377I,377,"archery, billiards. And other indoor facilities",NA
376I,376,gymnasiums and athletic clubs,NA
375V,375,tennis and/or racquetball courts,NA
375R,375,tennis and/or racquetball courts,NA
371I,371,NA,ICE SKATE M-96
371C,371,ice skating,NA
369I,369,other cultural and entertainment properties,NA
356V,356,"Misc public services - prof membership orgs, business associations",NA
355V,355,funeral homes,FUNERAL HM  MDL-00
355R,355,funeral homes,NA
354U,354,Bus Transportation facilities,NA
354I,354,Bus Transportation facilities,NA
353V,353,Fraternal Organizations,PRIV CLUB  MDL-00
351I,351,educational properties,NA
34R,34R,NA,NA
345I,404,NA,OFFICE LAB MDL-96
343U,343,NA,NA
343O,343,NA,NA
342R,342,Medical Office Buildings,NA
342O,342,Medical Office Buildings,PROF BLDG  MDL-06
342I,342,Medical Office Buildings,NA
341V,341,Bank Buildings,NA
341S,341,Bank Buildings,NA
341I,341,Bank Buildings,NA
340V,340,General Office Buildings,OFFICE BLD  MDL-00
340R,340,General Office Buildings,NA
340O,340,General Office Buildings,NA
340L,340,NA,OFF CONDO  MDL-96
340I,340,General Office Buildings,OFF BLD MDL
340C,340,General Office Buildings,OFF CONDO MDL
33I,33I,NA,NA
338V,338,Other motor vehicles sales and services,NA
338I,338,Other motor vehicles sales and services,OTH MTR SS M-96
337V,337,Parking Lots,NA
337I,337,Parking Lots,PARK LOT  MDL-96
335I,335,Car Wash facilities,NA
334V,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",Outbuildings
334S,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",GAS ST SRV  MDL-95
334I,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",GAS ST SRV  MDL-96
334C,334,"Gasoline Service Stations - providing engine repair or maintenance services, and fuel products",NA
333V,333,Fuel Services Areas - providing only fuel products,FUEL SV/PR MDL-00
333I,333,Fuel Services Areas - providing only fuel products,NA
332V,332,Auto Repair facilities,NA
332S,332,Auto Repair facilities,AUTO REPR  MDL-95
332R,332,Auto Repair facilities,NA
332I,332,Auto Repair facilities,AUTO REPR MDL
332C,332,Auto Repair facilities,NA
331V,331,Automotive Supplies Sales and Serivice,NA
331I,331,Automotive Supplies Sales and Serivice,NA
331C,331,Automotive Supplies Sales and Serivice,NA
330V,330,Automotive Vehicles Sales and Service,AUTO V S&S MDL
330S,330,Automotive Vehicles Sales and Service,NA
330I,330,Automotive Vehicles Sales and Service,"Automotive Vehicles Sales and Service, Table I"
327V,327,NA,NA
327R,327,NA,NA
327C,327,NA,NA
326U,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",NA
326R,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",NA
326I,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",REST/CLUBS  MDL-96
326A,326,"Eating and Drinking Establishments - restaurants, fast food, diners, bars, nightclubs",NA
325V,325,Small Retail and Services stores (< 10K sq.ft.),CONV FOOD  MDL-00
325R,325,Small Retail and Services stores (< 10K sq.ft.),NA
325I,325,Small Retail and Services stores (< 10K sq.ft.),CONV FOOD  MDL-96
325C,325,Small Retail and Services stores (< 10K sq.ft.),NA
324I,324,Supermarkets (> 10k sq. ft.),NA
323V,323,Shopping Centers/Malls,NA
323I,323,Shopping Centers/Malls,MALL  M-96
323C,323,Shopping Centers/Malls,NA
322V,322,"Discount Stores, Junior Department Stores, Department Stores",STORE/SHOP  MDL-00
322R,322,"Discount Stores, Junior Department Stores, Department Stores",NA
322O,322,"Discount Stores, Junior Department Stores, Department Stores",NA
322L,322,"Discount Stores, Junior Department Stores, Department Stores",COMM BLDG  MDL-96
322K,322,"Discount Stores, Junior Department Stores, Department Stores",NA
322I,322,"Discount Stores, Junior Department Stores, Department Stores",STORE/SHOP  MDL-96
322C,322,"Discount Stores, Junior Department Stores, Department Stores",NA
322A,322,"Discount Stores, Junior Department Stores, Department Stores",NA
321V,321,"Facilities providing buidling materials, hardware and farm equipment, heating, hardware, plumbing, lumber supplies and wquipment",HRDWARE ST MDL
321I,321,"Facilities providing buidling materials, hardware and farm equipment, heating, hardware, plumbing, lumber supplies and wquipment",HRDWARE ST  MDL-96
31I,31I,NA,NA
318V,318,Commercial Greenhouses,NA
318C,318,Commercial Greenhouses,NA
317V,317,"Farm Buildings - barns, silos, utility shed, etc.",NA
316V,316,"Other Storage, Warehouse and Distribution facilities",COMM WHSE  MDL-00
316S,316,"Other Storage, Warehouse and Distribution facilities",NA
316R,316,"Other Storage, Warehouse and Distribution facilities",NA
316I,316,"Other Storage, Warehouse and Distribution facilities",COMM WHSE  MDL-96
316C,316,"Other Storage, Warehouse and Distribution facilities",NA
316A,316,"Other Storage, Warehouse and Distribution facilities",NA
315V,315,"Piers, Wharves, Docks and related facilities that are used for storage and transit of goods",NA
315I,315,"Piers, Wharves, Docks and related facilities that are used for storage and transit of goods",NA
314V,314,Trucking Terminals,NA
314I,314,Trucking Terminals,NA
314C,314,Trucking Terminals,NA
313V,313,Lumber Yards,NA
313I,313,Lumber Yards,NA
313C,313,Lumber Yards,NA
311V,311,Bottled Gas and Propane Gas Tanks,NA
311I,311,Bottled Gas and Propane Gas Tanks,NA
310V,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",RTL OIL ST  MDL-00
310S,310,NA,RTL OIL ST  MDL-95
310L,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",NA
310I,310,"Tanks holding fuel and oil products for retail distribution, either above ground or below ground",RTL OIL ST  MDL-96
303A,303,BLANK,ACC COM LND
302R,302,"Inns, Resorts, or Tourist Homes",NA
301R,301,Motels,NA
301O,301,Motels,NA
300R,300,Hotels,NA
300I,300,Hotels,NA
140R,140,Child Care Facility,Child Care Facility Res
140I,140,Child Care Facility,DAY CARE MDL-96
140C,140,Child Care Facility,CHILD CARE C
13C,13C,NA,NA
132V,132,Undevelopable Land,Undevelopable Residential Land VACANT
132R,132,Undevelopable Land,NA
131V,131,Potentially Developable Land,Potentially Developable Residential Land VACANT
130V,130,Developable Land,RES ACLNDV  MDL-00
130R,130,Developable Land,NA
130B,130,Developable Land,NA
126R,126,NA,NA
126C,126,NA,NA
125R,125,Other Congregate Housing which includes non-transient shared living arrangements,NA
125C,125,Other Congregate Housing which includes non-transient shared living arrangements,OTHR LIV F  MDL-94
123C,123,Residence Halls or Dormitories,NA
121C,121,Rooming and Boarding Houses,NA
113C,113,NA,NA
112V,112,Greater than Eight Units,APT OVER 8 MDL-00
112R,112,Greater than Eight Units,"Apartment, Old Style"
112M,112,Greater than Eight Units,NA
112I,112,Greater than Eight Units,APT OVER 8 MDL-96
112C,112,Greater than Eight Units,APT OVER 8 MDL
111V,111,NA,APT 4-8 MDL-00
111R,111,Four to Eight Units,NA
111M,111,Four to Eight Units,NA
111J,111,Four to Eight Units,NA
111E,111,Four to Eight Units,NA
111C,111,Four to Eight Units,APT 4-UNT MDL
109V,109,Multiple houses on a single parcel,Multi Hses  M-0
109T,109,Multiple houses on a single parcel,NA
109R,109,Multiple houses on a single parcel,NA
109M,109,Multiple houses on a single parcel,NA
109C,109,Multiple houses on a single parcel,NA
107V,107,BLANK,NA
106V,106,Accessory Land with improvement,Ac Imp MDL-00
106R,106,Accessory Land with improvement,NA
106I,106,Accessory Land with improvement,AC LND IMP MDL-96
106C,106,Accessory Land with improvement,NA
105R,105,Three Family,NA
105M,105,Three Family,NA
104R,104,Two Family,Unknown
104M,104,Two Family,NA
104D,104,Two Family,NA
104A,104,Two Family,NA
103V,103,Mobile Home,NA
103R,103,Mobile Home,NA
103P,103,Mobile Home,NA
103I,103,Mobile Home,NA
103C,103,Mobile Home,NA
103A,103,Mobile Home,NA
102V,102,Condominium,Condo NL MDL-0
102U,102,Condominium,AFFORDABLE  MDL-05
102R,102,Condominium,NA
102M,102,Condominium,NA
102I,102,Condominium,NA
102H,102,Condominium,NA
102C,102,Condominium,NA
101V,131,NA,Single Family Residential VACANT
101R,101,Single Family,NA
101M,101,Single Family,NA
101H,101,Single Family,NA
101F,101,Single Family,NA
101C,101,Single Family,NA
101B,101,Single Family,NA
101A,101,Single Family,NA
098,0xx,Multiple Uses,NA
097,0xx,Multiple Uses,NA
0961,0xx,Multiple Uses,NA
0960,960,"Chruch, Mosque, Synagogue, Temple, etc.",NA
0956,0xx,Multiple Uses,NA
0940,0xx,Multiple Uses,NA
094,0xx,Multiple Uses,NA
0938,0xx,Multiple Uses,NA
0934,0xx,Multiple Uses,NA
0931,0xx,Multiple Uses,NA
0930,0xx,Multiple Uses,NA
093,0xx,Multiple Uses,NA
0920,0xx,Multiple Uses,NA
0914,0xx,Multiple Uses,NA
0910,0xx,Multiple Uses,NA
091,0xx,Multiple Uses,NA
0909,0xx,Multiple Uses,NA
0905,0xx,Multiple Uses,NA
0904,0xx,Multiple Uses,NA
0903,0xx,Multiple Uses,NA
089,0xx,Multiple Uses,NA
0873,0xx,Multiple Uses,NA
0870,0xx,Multiple Uses,NA
